iter	Passed	Remaining
681	54198	25271
682	54275	25190
683	54348	25108
684	54430	25029
685	54506	24949
686	54591	24872
687	54670	24792
688	54749	24712
689	54827	24632
690	54923	24560
691	54996	24478
692	55081	24400
693	55168	24325
694	55251	24247
695	55329	24167
696	55420	24092
697	55500	24013
698	55599	23941
699	55677	23861
700	55764	23785
701	55839	23704
702	55922	23625
703	55997	23544
704	56096	23472
705	56176	23393
706	56257	23314
707	56334	23234
708	56420	23156
709	56501	23077
710	56586	23000
711	56662	22919
712	56760	22847
713	56847	22770
714	56932	22693
715	57006	22611
716	57086	22532
717	57160	22450
718	57238	22370
719	57312	22288
720	57401	22212
721	57480	22132
722	57562	22053
723	57634	21971
724	57714	21891
725	57789	21810
726	57870	21731
727	57964	21657
728	58043	21577
729	58118	21495
730	58200	21417
731	58273	21335
732	58355	21256
733	58426	21173
734	58510	21095
735	58584	21013
736	58669	20936
737	58749	20856
738	58836	20780
739	58914	20699
740	58993	20619
741	59064	20537
742	59145	20458
743	59223	20377
744	59302	20298
745	59374	20216
746	59460	20138
747	59546	20061
748	59633	19984
749	59704	19901
750	59783	19821
751	59855	19739
752	59935	19660
753	60010	19578
754	60091	19499
755	60165	19418
756	60244	19338
757	60318	19257
758	60397	19177
759	60470	19096
760	60552	19017
761	60632	18937
762	60717	18859
763	60789	18778
764	60872	18699
765	60946	18618
766	61026	18538
767	61099	18457
768	61177	18376
769	61250	18295
770	61334	18217
771	61408	18136
772	61488	18056
773	61565	17976
774	61645	17897
775	61720	17816
776	61801	17737
777	61873	17655
778	61962	17578
779	62033	17496
780	62112	17416
781	62187	17336
782	62270	17257
783	62346	17177
784	62427	17098
785	62501	17016
786	62585	16938
787	62659	16857
788	62740	16778
789	62817	16698
790	62903	16620
791	62980	16540
792	63060	16461
793	63133	16379
794	63217	16301
795	63291	16220
796	63379	16142
797	63453	16062
798	63537	15983
799	63614	15903
800	63694	15824
801	63770	15743
802	63860	15666
803	63933	15585
804	64014	15506
805	64085	15425
806	64165	15345
807	64237	15264
808	64323	15186
809	64396	15105
810	64478	15026
811	64552	14945
812	64635	14866
813	64709	14786
814	64796	14708
815	64874	14628
816	64969	14552
817	65042	14471
818	65125	14392
819	65202	14312
820	65293	14235
821	65365	14154
822	65446	14075
823	65521	13994
824	65601	13915
825	65674	13834
826	65758	13755
827	65835	13675
828	65916	13596
829	65988	13515
830	66072	13437
831	66146	13356
832	66227	13277
833	66302	13196
834	66380	13117
835	66455	13036
836	66539	12958
837	66618	12878
838	66702	12799
839	66774	12718
840	66854	12639
841	66928	12559
842	67023	12482
843	67101	12402
844	67185	12323
845	67257	12243
846	67336	12163
847	67410	12082
848	67493	12004
849	67564	11923
850	67647	11844
851	67725	11764
852	67811	11686
853	67889	11606
854	67975	11527
855	68048	11447
856	68129	11368
857	68202	11287
858	68286	11208
859	68357	11127
860	68437	11048
861	68512	10968
862	68595	10889
863	68672	10809
864	68753	10730
865	68828	10650
866	68907	10570
867	68981	10490
